"MTU (UTC)","Day-ahead Price [GBP/MWh]"
"01.01.2015 00:00 - 01.01.2015 01:00","0.00"
"01.01.2015 01:00 - 01.01.2015 02:00","0.00"
"01.01.2015 02:00 - 01.01.2015 03:00","0.00"
"01.01.2015 03:00 - 01.01.2015 04:00","0.00"
"01.01.2015 04:00 - 01.01.2015 05:00","0.00"
"01.01.2015 05:00 - 01.01.2015 06:00","0.00"
"01.01.2015 06:00 - 01.01.2015 07:00","0.00"
"01.01.2015 07:00 - 01.01.2015 08:00","0.00"
"01.01.2015 08:00 - 01.01.2015 09:00","0.00"
"01.01.2015 09:00 - 01.01.2015 10:00","0.00"
"01.01.2015 10:00 - 01.01.2015 11:00","0.00"
"01.01.2015 11:00 - 01.01.2015 12:00","0.00"
"01.01.2015 12:00 - 01.01.2015 13:00","0.00"
"01.01.2015 13:00 - 01.01.2015 14:00","0.00"
"01.01.2015 14:00 - 01.01.2015 15:00","0.00"
"01.01.2015 15:00 - 01.01.2015 16:00","0.00"
"01.01.2015 16:00 - 01.01.2015 17:00","0.00"
"01.01.2015 17:00 - 01.01.2015 18:00","0.00"
"01.01.2015 18:00 - 01.01.2015 19:00","0.00"
"01.01.2015 19:00 - 01.01.2015 20:00","0.00"
"01.01.2015 20:00 - 01.01.2015 21:00","0.00"
"01.01.2015 21:00 - 01.01.2015 22:00","0.00"
"01.01.2015 22:00 - 01.01.2015 23:00","0.00"
"01.01.2015 23:00 - 02.01.2015 00:00","29.51"
"02.01.2015 00:00 - 02.01.2015 01:00","27.94"
"02.01.2015 01:00 - 02.01.2015 02:00","25.50"
"02.01.2015 02:00 - 02.01.2015 03:00","20.92"
"02.01.2015 03:00 - 02.01.2015 04:00","17.38"
"02.01.2015 04:00 - 02.01.2015 05:00","19.85"
"02.01.2015 05:00 - 02.01.2015 06:00","20.67"
"02.01.2015 06:00 - 02.01.2015 07:00","25.36"
"02.01.2015 07:00 - 02.01.2015 08:00","32.00"
"02.01.2015 08:00 - 02.01.2015 09:00","35.09"
"02.01.2015 09:00 - 02.01.2015 10:00","39.34"
"02.01.2015 10:00 - 02.01.2015 11:00","37.45"
"02.01.2015 11:00 - 02.01.2015 12:00","39.73"
"02.01.2015 12:00 - 02.01.2015 13:00","44.07"
"02.01.2015 13:00 - 02.01.2015 14:00","39.82"
"02.01.2015 14:00 - 02.01.2015 15:00","36.54"
"02.01.2015 15:00 - 02.01.2015 16:00","36.52"
"02.01.2015 16:00 - 02.01.2015 17:00","47.97"
"02.01.2015 17:00 - 02.01.2015 18:00","80.00"
"02.01.2015 18:00 - 02.01.2015 19:00","56.72"
"02.01.2015 19:00 - 02.01.2015 20:00","37.13"
"02.01.2015 20:00 - 02.01.2015 21:00","44.52"
"02.01.2015 21:00 - 02.01.2015 22:00","37.09"
"02.01.2015 22:00 - 02.01.2015 23:00","36.86"
"02.01.2015 23:00 - 03.01.2015 00:00","35.77"
"03.01.2015 00:00 - 03.01.2015 01:00","35.94"
"03.01.2015 01:00 - 03.01.2015 02:00","35.65"
"03.01.2015 02:00 - 03.01.2015 03:00","33.02"
"03.01.2015 03:00 - 03.01.2015 04:00","32.00"
"03.01.2015 04:00 - 03.01.2015 05:00","31.72"
"03.01.2015 05:00 - 03.01.2015 06:00","35.93"
"03.01.2015 06:00 - 03.01.2015 07:00","35.95"
"03.01.2015 07:00 - 03.01.2015 08:00","36.03"
"03.01.2015 08:00 - 03.01.2015 09:00","37.42"
"03.01.2015 09:00 - 03.01.2015 10:00","39.93"
"03.01.2015 10:00 - 03.01.2015 11:00","45.05"
"03.01.2015 11:00 - 03.01.2015 12:00","44.96"
"03.01.2015 12:00 - 03.01.2015 13:00","44.91"
"03.01.2015 13:00 - 03.01.2015 14:00","41.59"
"03.01.2015 14:00 - 03.01.2015 15:00","36.57"
"03.01.2015 15:00 - 03.01.2015 16:00","40.65"
"03.01.2015 16:00 - 03.01.2015 17:00","57.92"
"03.01.2015 17:00 - 03.01.2015 18:00","74.34"
"03.01.2015 18:00 - 03.01.2015 19:00","57.13"
"03.01.2015 19:00 - 03.01.2015 20:00","42.03"
"03.01.2015 20:00 - 03.01.2015 21:00","44.02"
"03.01.2015 21:00 - 03.01.2015 22:00","44.04"
"03.01.2015 22:00 - 03.01.2015 23:00","36.58"
"03.01.2015 23:00 - 04.01.2015 00:00","40.01"
"04.01.2015 00:00 - 04.01.2015 01:00","40.01"
"04.01.2015 01:00 - 04.01.2015 02:00","51.46"
"04.01.2015 02:00 - 04.01.2015 03:00","36.07"
"04.01.2015 03:00 - 04.01.2015 04:00","35.38"
"04.01.2015 04:00 - 04.01.2015 05:00","32.29"
"04.01.2015 05:00 - 04.01.2015 06:00","32.10"
"04.01.2015 06:00 - 04.01.2015 07:00","34.00"
"04.01.2015 07:00 - 04.01.2015 08:00","31.97"
"04.01.2015 08:00 - 04.01.2015 09:00","35.37"
"04.01.2015 09:00 - 04.01.2015 10:00","36.59"
"04.01.2015 10:00 - 04.01.2015 11:00","38.89"
"04.01.2015 11:00 - 04.01.2015 12:00","47.09"
"04.01.2015 12:00 - 04.01.2015 13:00","54.05"
"04.01.2015 13:00 - 04.01.2015 14:00","49.90"
"04.01.2015 14:00 - 04.01.2015 15:00","38.51"
"04.01.2015 15:00 - 04.01.2015 16:00","37.02"
"04.01.2015 16:00 - 04.01.2015 17:00","56.69"
"04.01.2015 17:00 - 04.01.2015 18:00","79.98"
"04.01.2015 18:00 - 04.01.2015 19:00","54.92"
"04.01.2015 19:00 - 04.01.2015 20:00","45.96"
"04.01.2015 20:00 - 04.01.2015 21:00","41.00"
"04.01.2015 21:00 - 04.01.2015 22:00","40.98"
"04.01.2015 22:00 - 04.01.2015 23:00","35.91"
"04.01.2015 23:00 - 05.01.2015 00:00","36.58"
"05.01.2015 00:00 - 05.01.2015 01:00","36.55"
"05.01.2015 01:00 - 05.01.2015 02:00","36.07"
"05.01.2015 02:00 - 05.01.2015 03:00","35.50"
"05.01.2015 03:00 - 05.01.2015 04:00","34.29"
"05.01.2015 04:00 - 05.01.2015 05:00","30.43"
"05.01.2015 05:00 - 05.01.2015 06:00","35.18"
"05.01.2015 06:00 - 05.01.2015 07:00","38.51"
"05.01.2015 07:00 - 05.01.2015 08:00","41.12"
"05.01.2015 08:00 - 05.01.2015 09:00","43.25"
"05.01.2015 09:00 - 05.01.2015 10:00","51.46"
"05.01.2015 10:00 - 05.01.2015 11:00","51.21"
"05.01.2015 11:00 - 05.01.2015 12:00","42.98"
"05.01.2015 12:00 - 05.01.2015 13:00","45.12"
"05.01.2015 13:00 - 05.01.2015 14:00","37.48"
"05.01.2015 14:00 - 05.01.2015 15:00","37.06"
"05.01.2015 15:00 - 05.01.2015 16:00","37.06"
"05.01.2015 16:00 - 05.01.2015 17:00","54.97"
"05.01.2015 17:00 - 05.01.2015 18:00","90.73"
"05.01.2015 18:00 - 05.01.2015 19:00","58.51"
"05.01.2015 19:00 - 05.01.2015 20:00","42.43"
"05.01.2015 20:00 - 05.01.2015 21:00","36.58"
"05.01.2015 21:00 - 05.01.2015 22:00","38.98"
"05.01.2015 22:00 - 05.01.2015 23:00","36.05"
"05.01.2015 23:00 - 06.01.2015 00:00","36.01"
"06.01.2015 00:00 - 06.01.2015 01:00","36.02"
"06.01.2015 01:00 - 06.01.2015 02:00","35.49"
"06.01.2015 02:00 - 06.01.2015 03:00","32.91"
"06.01.2015 03:00 - 06.01.2015 04:00","30.12"
"06.01.2015 04:00 - 06.01.2015 05:00","29.78"
"06.01.2015 05:00 - 06.01.2015 06:00","33.47"
"06.01.2015 06:00 - 06.01.2015 07:00","38.96"
"06.01.2015 07:00 - 06.01.2015 08:00","37.78"
"06.01.2015 08:00 - 06.01.2015 09:00","38.81"
"06.01.2015 09:00 - 06.01.2015 10:00","40.95"
"06.01.2015 10:00 - 06.01.2015 11:00","43.94"
"06.01.2015 11:00 - 06.01.2015 12:00","42.34"
"06.01.2015 12:00 - 06.01.2015 13:00","45.58"
"06.01.2015 13:00 - 06.01.2015 14:00","44.57"
"06.01.2015 14:00 - 06.01.2015 15:00","36.59"
"06.01.2015 15:00 - 06.01.2015 16:00","36.53"
"06.01.2015 16:00 - 06.01.2015 17:00","51.20"
"06.01.2015 17:00 - 06.01.2015 18:00","75.92"
"06.01.2015 18:00 - 06.01.2015 19:00","56.69"
"06.01.2015 19:00 - 06.01.2015 20:00","43.47"
"06.01.2015 20:00 - 06.01.2015 21:00","42.09"
"06.01.2015 21:00 - 06.01.2015 22:00","40.27"
"06.01.2015 22:00 - 06.01.2015 23:00","36.10"
"06.01.2015 23:00 - 07.01.2015 00:00","36.58"
"07.01.2015 00:00 - 07.01.2015 01:00","36.60"
"07.01.2015 01:00 - 07.01.2015 02:00","36.09"
"07.01.2015 02:00 - 07.01.2015 03:00","31.26"
"07.01.2015 03:00 - 07.01.2015 04:00","22.57"
"07.01.2015 04:00 - 07.01.2015 05:00","26.75"
"07.01.2015 05:00 - 07.01.2015 06:00","31.95"
"07.01.2015 06:00 - 07.01.2015 07:00","37.64"
"07.01.2015 07:00 - 07.01.2015 08:00","41.68"
"07.01.2015 08:00 - 07.01.2015 09:00","42.08"
"07.01.2015 09:00 - 07.01.2015 10:00","45.54"
"07.01.2015 10:00 - 07.01.2015 11:00","41.38"
"07.01.2015 11:00 - 07.01.2015 12:00","40.52"
"07.01.2015 12:00 - 07.01.2015 13:00","39.91"
"07.01.2015 13:00 - 07.01.2015 14:00","38.95"
"07.01.2015 14:00 - 07.01.2015 15:00","37.00"
"07.01.2015 15:00 - 07.01.2015 16:00","36.09"
"07.01.2015 16:00 - 07.01.2015 17:00","43.91"
"07.01.2015 17:00 - 07.01.2015 18:00","61.70"
"07.01.2015 18:00 - 07.01.2015 19:00","42.99"
"07.01.2015 19:00 - 07.01.2015 20:00","43.46"
"07.01.2015 20:00 - 07.01.2015 21:00","42.02"
"07.01.2015 21:00 - 07.01.2015 22:00","40.04"
"07.01.2015 22:00 - 07.01.2015 23:00","35.19"
"07.01.2015 23:00 - 08.01.2015 00:00","34.94"
"08.01.2015 00:00 - 08.01.2015 01:00","33.97"
"08.01.2015 01:00 - 08.01.2015 02:00","30.00"
"08.01.2015 02:00 - 08.01.2015 03:00","24.93"
"08.01.2015 03:00 - 08.01.2015 04:00","18.79"
"08.01.2015 04:00 - 08.01.2015 05:00","24.49"
"08.01.2015 05:00 - 08.01.2015 06:00","31.35"
"08.01.2015 06:00 - 08.01.2015 07:00","37.91"
"08.01.2015 07:00 - 08.01.2015 08:00","36.79"
"08.01.2015 08:00 - 08.01.2015 09:00","37.31"
"08.01.2015 09:00 - 08.01.2015 10:00","48.10"
"08.01.2015 10:00 - 08.01.2015 11:00","41.98"
"08.01.2015 11:00 - 08.01.2015 12:00","47.18"
"08.01.2015 12:00 - 08.01.2015 13:00","46.05"
"08.01.2015 13:00 - 08.01.2015 14:00","41.52"
"08.01.2015 14:00 - 08.01.2015 15:00","35.55"
"08.01.2015 15:00 - 08.01.2015 16:00","35.10"
"08.01.2015 16:00 - 08.01.2015 17:00","49.96"
"08.01.2015 17:00 - 08.01.2015 18:00","70.49"
"08.01.2015 18:00 - 08.01.2015 19:00","47.95"
"08.01.2015 19:00 - 08.01.2015 20:00","40.43"
"08.01.2015 20:00 - 08.01.2015 21:00","38.15"
"08.01.2015 21:00 - 08.01.2015 22:00","37.91"
"08.01.2015 22:00 - 08.01.2015 23:00","35.59"
"08.01.2015 23:00 - 09.01.2015 00:00","35.18"
"09.01.2015 00:00 - 09.01.2015 01:00","35.37"
"09.01.2015 01:00 - 09.01.2015 02:00","32.99"
"09.01.2015 02:00 - 09.01.2015 03:00","28.08"
"09.01.2015 03:00 - 09.01.2015 04:00","19.30"
"09.01.2015 04:00 - 09.01.2015 05:00","19.59"
"09.01.2015 05:00 - 09.01.2015 06:00","25.67"
"09.01.2015 06:00 - 09.01.2015 07:00","37.91"
"09.01.2015 07:00 - 09.01.2015 08:00","38.46"
"09.01.2015 08:00 - 09.01.2015 09:00","38.00"
"09.01.2015 09:00 - 09.01.2015 10:00","43.06"
"09.01.2015 10:00 - 09.01.2015 11:00","45.09"
"09.01.2015 11:00 - 09.01.2015 12:00","49.98"
"09.01.2015 12:00 - 09.01.2015 13:00","39.14"
"09.01.2015 13:00 - 09.01.2015 14:00","35.59"
"09.01.2015 14:00 - 09.01.2015 15:00","35.56"
"09.01.2015 15:00 - 09.01.2015 16:00","36.54"
"09.01.2015 16:00 - 09.01.2015 17:00","49.99"
"09.01.2015 17:00 - 09.01.2015 18:00","59.97"
"09.01.2015 18:00 - 09.01.2015 19:00","40.04"
"09.01.2015 19:00 - 09.01.2015 20:00","39.99"
"09.01.2015 20:00 - 09.01.2015 21:00","37.38"
"09.01.2015 21:00 - 09.01.2015 22:00","36.91"
"09.01.2015 22:00 - 09.01.2015 23:00","35.07"
"09.01.2015 23:00 - 10.01.2015 00:00","34.99"
"10.01.2015 00:00 - 10.01.2015 01:00","33.71"
"10.01.2015 01:00 - 10.01.2015 02:00","32.93"
"10.01.2015 02:00 - 10.01.2015 03:00","28.99"
"10.01.2015 03:00 - 10.01.2015 04:00","20.30"
"10.01.2015 04:00 - 10.01.2015 05:00","16.35"
"10.01.2015 05:00 - 10.01.2015 06:00","15.77"
"10.01.2015 06:00 - 10.01.2015 07:00","23.64"
"10.01.2015 07:00 - 10.01.2015 08:00","25.99"
"10.01.2015 08:00 - 10.01.2015 09:00","30.00"
"10.01.2015 09:00 - 10.01.2015 10:00","37.81"
"10.01.2015 10:00 - 10.01.2015 11:00","38.64"
"10.01.2015 11:00 - 10.01.2015 12:00","42.29"
"10.01.2015 12:00 - 10.01.2015 13:00","39.10"
"10.01.2015 13:00 - 10.01.2015 14:00","36.91"
"10.01.2015 14:00 - 10.01.2015 15:00","35.99"
"10.01.2015 15:00 - 10.01.2015 16:00","33.99"
"10.01.2015 16:00 - 10.01.2015 17:00","35.59"
"10.01.2015 17:00 - 10.01.2015 18:00","59.90"
"10.01.2015 18:00 - 10.01.2015 19:00","46.97"
"10.01.2015 19:00 - 10.01.2015 20:00","46.02"
"10.01.2015 20:00 - 10.01.2015 21:00","35.30"
"10.01.2015 21:00 - 10.01.2015 22:00","34.00"
"10.01.2015 22:00 - 10.01.2015 23:00","33.04"
"10.01.2015 23:00 - 11.01.2015 00:00","0.00"
"11.01.2015 00:00 - 11.01.2015 01:00","0.00"
"11.01.2015 01:00 - 11.01.2015 02:00","0.00"
"11.01.2015 02:00 - 11.01.2015 03:00","0.00"
"11.01.2015 03:00 - 11.01.2015 04:00","0.00"
"11.01.2015 04:00 - 11.01.2015 05:00","0.00"
"11.01.2015 05:00 - 11.01.2015 06:00","0.00"
"11.01.2015 06:00 - 11.01.2015 07:00","0.00"
"11.01.2015 07:00 - 11.01.2015 08:00","0.00"
"11.01.2015 08:00 - 11.01.2015 09:00","0.00"
"11.01.2015 09:00 - 11.01.2015 10:00","0.00"
"11.01.2015 10:00 - 11.01.2015 11:00","0.00"
"11.01.2015 11:00 - 11.01.2015 12:00","0.00"
"11.01.2015 12:00 - 11.01.2015 13:00","0.00"
"11.01.2015 13:00 - 11.01.2015 14:00","0.00"
"11.01.2015 14:00 - 11.01.2015 15:00","0.00"
"11.01.2015 15:00 - 11.01.2015 16:00","0.00"
"11.01.2015 16:00 - 11.01.2015 17:00","0.00"
"11.01.2015 17:00 - 11.01.2015 18:00","0.00"
"11.01.2015 18:00 - 11.01.2015 19:00","0.00"
"11.01.2015 19:00 - 11.01.2015 20:00","0.00"
